Country,Capital City,Latitude,Longitude,Population,Capital Type,Raininess
French Guiana,Cayenne,4.9333,-52.3333,57506,Capital,72.57307719333454
Palau,Koror,7.3426,134.4789,11410,Capital,72.16862804714336
Federated States of Micronesia,Palikir,6.9174,158.1588,6996,Capital,71.75897522259653
Marshall Islands,Majuro,7.0897,171.3803,30661,Capital,71.67812065814967
French Polynesia,Papeete,-17.5333,-149.5667,136005,Capital,70.66219741098396
Brunei,Bandar Seri Begawan,4.9403,114.9481,40781,Capital,70.37459572053052
Liberia,Monrovia,6.3005,-10.7969,1418300,Capital,70.34175020138868
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,Capital,70.17085671565815
Samoa,Apia,-13.8333,-171.7667,36066,Capital,70.1179488567548
Tuvalu,Funafuti,-8.5189,179.1991,7042,Capital,69.85675225620557
Gabon,Libreville,0.3925,9.4537,813489,Capital,69.78433084609465
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,1025,Capital,69.6418284807084
Sri Lanka,Colombo,6.9319,79.8478,599821,Capital,69.51479579801655
Costa Rica,San José,9.9278,-84.0807,1357745,Capital,69.34481190704231
Guam,Hagåtña,13.4757,144.7489,146905,Capital,69.29041507000532
Guyana,Georgetown,6.8045,-58.1553,109934,Capital,69.23166341857494
Nepal,Kathmandu,27.7017,85.3206,1329732,Capital,69.09747777602624
Malaysia,Kuala Lumpur,3.1412,101.6865,7563912,Capital,68.97535328708284
Singapore,Singapore,1.2897,103.8501,5791901,Capital,68.95889233604696
Solomon Islands,Honiara,-9.4333,159.95,81801,Capital,68.91772832968785
Tokelau,Tokelau,-9.38,-171.25,0,Others,68.7869500468332
Sierra Leone,Freetown,8.484,-13.2299,1135949,Capital,68.7667106139517
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,1783490,Capital,68.53361317739594
Fiji,Suva,-18.1416,178.4415,178339,Capital,68.46923139859939
Guinea,Conakry,9.5716,-13.6476,1843121,Capital,68.41324503151483
Indonesia,Jakarta,-6.2118,106.8416,10516927,Capital,68.36947125545177
Ecuador,Quito,-0.2299,-78.525,1822397,Capital,68.27069057189904
Vanuatu,Port Vila,-17.7338,168.3219,52690,Capital,67.95807921447819
Seychelles,Victoria,-4.6167,55.45,28091,Capital,67.91644241326641
Suriname,Paramaribo,5.8664,-55.1668,239457,Capital,67.85283644436002
Burundi,Bujumbura,-3.3822,29.3644,898968,Capital,67.80715578643104
Comoros,Moroni,-11.7022,43.2551,62351,Capital,67.80309716948518
Philippines,Manila,14.6042,120.9822,13482468,Capital,67.33834613477293
Réunion,Saint-Denis,-20.8823,55.4504,147209,Capital,67.29565299417342
Myanmar,Nay Pyi Taw,19.745,96.1297,500218,Capital,67.29437181143113
Niue,Alofi,-19.0585,-169.9213,727,Capital,67.28241381525136
Equatorial Guinea,Malabo,3.75,8.7833,296770,Capital,67.15928333160551
"China, Hong Kong SAR",Hong Kong,22.2796,114.1887,7428887,Capital,66.88950941035561
Vietnam,Hà Noi,21.0245,105.8412,4282738,Capital,66.81300693765562
Côte d'Ivoire,Abidjan,5.3453,-4.0268,4920776,Administrative Capital,66.79473233583225
Guadeloupe,Basse-Terre,15.9985,-61.7255,58397,Capital,66.78669469227691
Northern Mariana Islands,Saipan,15.2123,145.7545,50568,Capital,66.72446141773128
Maldives,Male,4.1748,73.5089,176851,Capital,66.71908621090836
Cook Islands,Rarotonga,-21.23,-159.76,13067,Capital,66.62561358569036
"China, Macao SAR",Macao,22.2006,113.5461,632418,Capital,66.58950059673937
Belize,Belmopan,17.25,-88.7667,22964,Capital,66.46743009119545
Bhutan,Thimphu,27.4661,89.6419,203297,Capital,66.23800604581672
Laos,Vientiane,17.9667,102.6,664754,Capital,66.18111761503994
Kiribati,Tarawa,1.3272,172.9813,64011,Capital,66.07356871749299
Tonga,Nuku'alofa,-21.1394,-175.2032,22904,Capital,66.03850359296149
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,1952329,Capital,65.95787956440813
Colombia,Bogotá,4.6097,-74.0818,10574409,Capital,65.88328126296298
